시행업체명,시공업체명,사업구분명,지역구분코드,지역상세구분코드,지역구분코드명,지역상세구분코드명,사업규모내용,사업구분명,총세대수,일반분양세대수,조합원세대수,임대보증세대수,분양가격,모집공고승인일자,분양개시일자
선광토건(주),"선광토건(주),",청주시 상당구 용담동 87-1번지 선광 로즈웰타운,09,0960,충청북도,충북 청주시 상당구,"최저 4 층 ~ 최고 4층, 5동",일반분양,79,79,0,0,5937973,20111006,
(주)대원건설,"(주)대원,",청주 율량2지구 3블럭 대원칸타빌 2차,09,0960,충청북도,충북 청주시 상당구,"최저 2 층 ~ 최고 25층, 9동",일반분양,780,780,0,0,7299213,20120903,
(주)한국토지신탁,"동아건설산업(주),",서산 동문 동아 더 프라임,10,1056,충청남도,충남 서산시,"최저 -3 층 ~ 최고 15층, 7동",일반분양,458,458,0,0,6821292,20130410,
극동건설(주),"극동건설(주),",충남도청(내포)신도시 웅진스타클래스 센트럴,10,1050,충청남도,충남 홍성군,"최저 -1 층 ~ 최고 20층, 9동",일반분양,943,938,0,0,6525285,20111104,20111001
(주)포스코건설,"(주)포스코건설,",세종시 the # 센트럴시티 (M1블럭),10,1039,충청남도,충남 연기군,"최저 -1 층 ~ 최고 26층, 8동",일반분양,636,626,0,0,8109875,20130418,
(주)포스코건설,"(주)포스코건설,",세종시 the # 레이크파크 (L1블럭),10,1039,충청남도,충남 연기군,"최저 -2 층 ~ 최고 12층, 19동",일반분양,519,511,0,0,8692742,20111027,
아시아신탁(주),"(주)삼정기업,",아산 배방 삼정 그린코아,10,1036,충청남도,충남 아산시,"최저 -2 층 ~ 최고 22층, 6동",일반분양,2156,2156,0,0,4184773,20111013,
(주)대우건설,"(주)대우건설,",서산 예천 푸르지오,10,1056,충청남도,충남 서산시,"최저 20 층 ~ 최고 20층, 8동",일반분양,713,706,0,0,6932894,20130927,20110929
현대엔지니어링(주),"현대엔지니어링(주),",당진 엠코타운 신축공사,10,1043,충청남도,충남 당진시,"최저 15 층 ~ 최고 21층, 11동",지역조합,863,530,325,0,5658494,20121106,
한성개발(주),"한성건설(주),",보령 동대동 한성필하우스,10,1055,충청남도,충남 보령시,"최저 -1 층 ~ 최고 24층, 6동",일반분양,464,457,0,0,6300632,20110825,20110825
코리아신탁(주),"(주)다우와키움건설,",계룡 블루힐스 아파트 신축공사,10,1021,충청남도,충남 계룡시,"최저 12 층 ~ 최고 15층, 8동",일반분양,304,304,0,0,5625211,20111116,
디엘이앤씨(주),"디엘이앤씨(주),",천안 두정2차 e편한세상,10,1030,충청남도,충남 천안시,"최저 18 층 ~ 최고 23층, 11동",일반분양,848,848,0,0,7537506,20130415,20110614
(주)영무건설,"(주)영무토건,",전주 평화동 영무예다음,11,1160,전라북도,전북 전주시 완산구,"최저 10 층 ~ 최고 15층, 5동",일반분양,412,407,0,0,5965224,20111005,
우리자산신탁(주),"벽산엔지니어링(주),",전주과학산업단지 벽산e-솔렌스힐 아파트 신축공사,11,1165,전라북도,전북 완주군,"최저 11 층 ~ 최고 15층, 9동",일반분양,532,525,0,0,4108640,20120420,
